" ";" "
";";";"
"[header] You have been invited by [sender_title] to join our social network. To join, please follow the link below: [object_link] ---------------------------------------- [message] ---------------------------------------- [footer]";"[header] Вы были приглашены [sender_title] присоединиться к нашей социальной сети. Чтобы присоединиться, пожалуйста, перейдите по ссылке ниже:[object_link] ---------------------------------------- [message] ---------------------------------------- [footer]"
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Забыли пароль?</a></span>"  

"- All unsaved changes to pages or widgets will be lost -";"- Все не сохраненные изменения на страницах или виджетах будут потеряны -"
"""Click Add Pictures"" to select one or more pictures from your computer. After you have selected the pictures, they will begin to upload right away. When your upload is finished, click the button below your picture list to save them to your feedback.";"""Нажмите ""Добавить фото"", чтобы выбрать один или несколько фотографий с компьютера. После выбора картинки, они начнут загружать сразу. Когда загрузка завершена, нажмите кнопку ниже список изображений, чтобы сохранить их в обратной связи."

"%1$d tasks are currently running.";"%1$d задач в настоящее время работает."
"%1$s %2$s reply";"%1$s %2$s ответ";"%1$s %2$s ответов"
"%1$s %2$s view";"%1$s %2$s просмотр";"%1$s %2$s просмотров"
"%1$s at %2$s";"%1$s в %2$s"
"%1$s has invited you to the group %2$s";"%1$s приглашает Вас на группу %2$s"
"%1$s has not published a blog entry with that criteria.";"%1$s не написал в блоге с этим критериям."
"%1$s has not written a blog entry yet.";"%1$s не написал в блоге."
"%1$s has joined the room.";"%1$s вошёл в комнату."
"%1$s has left the room.";"%1$s вышел из комнаты."
"%1$s has sent you a friend request.";"%1$s хочет с Вами дружить."
"%1$s in queue";"%1$s в очереди"
"%1$s of %2$s";"%1$s из %2$s"
"%1$s person";"%1$s человек";"%1$s людей"
"%1$s processed";"%1$s в процессе"
"%1$s second";"%1$s следующий"
"%1$s vote";"%1$s голос";"%1$s голосов"
"%1$s%%";"%1$s%%"
"%1$s%% complete";"%1$s%% выполнено"
"%1$sLast post%2$s by %3$s";"%1$sпоследнее сообщение %2$s по %3$s"
"%1$s's Album: %2$s";"%1$s Альбом: %2$s"
"%1$s's Blog";"%1$s's Блог"
"%1$s's Blogs";"%1$s Блоги"
"%1$s's Classified Listing";"%1$s's Объявление"
"%1$s's Classified Listings";"%1$s's Объявления"
"%1$s's Profile";"%1$s's Профиль"
"%1$s's Tags";"%1$s's Теги"
"%1$s's Videos";"%1$s's Видео"
"%d announcements total";"Всего объявлений: %d"
"%d chat room";"%d чат";"%d чатов"
"%d hour ago";"%d час назад";"%d часов назад"
"%d level found";"%d уровень найден";"%d уровней найдено"
"%d member";"%d пользователь";"%d пользователей"
"%d new update is available - click this to show it.";"%d новое обновление доступно - нажмите здесь, чтобы показать его.";"%d новые обновления доступны - нажмите здесь, чтобы показать их."
"%d of %d";"%d из %d"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'";"Пожалуйста, введите адрес электронной почты"
"'%hostname%' is not a valid hostname for email address '%value%'";"Пожалуйста, введите адрес электронной почты"
"'%localPart%' is not a valid local part for email address '%value%'";"Пожалуйста, введите адрес электронной почты"
"'%localPart%' not matched against dot-atom format";"Пожалуйста, введите адрес электронной почты"
"'%localPart%' not matched against quoted-string format";"Пожалуйста, введите адрес электронной почты"
